,a1,a2,a3,agency,h2,h3,h4,h5,suburb,t1,t2,t3,t4,u1,u2,u3,u4
912,,,,Fletchers,,,,,Glen Waverley,,,,,,,,
913,,,,Eview Group,,,,,Glen Waverley,,,,,,,,
914,,,,Raine & Horne,,,,,Glen Waverley,,,,,,,,
915,,,,Woodards,,1049500.0,1227060.0,1450000.0,Glen Waverley,,,,,,,,
916,,,,McGrath,,1120000.0,,,Glen Waverley,,,,1428000.0,,819000.0,,
917,,,,Marshall White,,,,,Glen Waverley,,,,,,,,
918,,,,Hodges,,,,,Glen Waverley,,,,,,,,
919,,,,Jellis Craig & Company Pty Ltd,,,,,Glen Waverley,,,,,,,,
920,,,,Noel Jones,,,,,Glen Waverley,,,,,,,,
921,,,,RT Edgar,,,,,Glen Waverley,,,,,,,,
922,,,,Philip Webb,,,,,Glen Waverley,,,,,,,,
923,,,,Bell Real Estate,,,,,Glen Waverley,,,,,,,,
924,,,,hockingstuart ,,,,,Glen Waverley,,,,,,,,
925,,,,Sweeney Estate Agents,,,,,Glen Waverley,,,,,,,,
926,,,,Brad Teal Real Estate,,,,,Glen Waverley,,,,,,,,
927,,,,Grant's Estate Agents,,,,,Glen Waverley,,,,,,,,
928,430000.0,,,Barry Plant ,,1172142.857142857,1196063.2857142857,1132500.0,Glen Waverley,,,687000.0,1043600.0,,,1098750.0,
929,,,,Hayeswinckle,,,,,Glen Waverley,,,,,,,,
930,,,,Harcourts Rata & Co,,,,,Glen Waverley,,,,,,,,
931,,,,Alex Scott & Staff,,,,,Glen Waverley,,,,,,,,
932,,,,Jellis Craig ,,,,,Glen Waverley,,,,,,,,
933,,,,PRDnationwide,,,,,Glen Waverley,,,,,,,,
934,,,,PRD Nationwide,,,,,Glen Waverley,,,,,,,,
935,,,,Miles Real Estate,,,,,Glen Waverley,,,,,,,,
936,,,,Gary Peer & Associates,,,,,Glen Waverley,,,,,,,,
937,,,,Love & Co,,,,,Glen Waverley,,,,,,,,
938,,,,Ray White Oakleigh,,,,,Glen Waverley,,,,,,,805000.0,
939,,,,Morrison Kleeman Estate Agents Greensborough Doreen,,,,,Glen Waverley,,,,,,,,
940,,,,Landmark Harcourts,,,,,Glen Waverley,,,,,,,,
941,,,,Ray White ,,,,,Glen Waverley,,,,1175000.0,,,,
942,,,,Professionals Methven Group,,,,,Glen Waverley,,,,,,,,
943,,,,Kay & Burton,,,,,Glen Waverley,,,,,,,,
944,,,,Jas Stephens Real Estate,,,,,Glen Waverley,,,,,,,,
945,,,,First National Real Estate Neilson Partners,,,,,Glen Waverley,,,,,,,,
946,,,,Clark NextRE,,,,,Glen Waverley,,,,,,,,
947,,,,Professionals,,,,,Glen Waverley,,,,,,,,
948,,,,Ballarat Real Estate,,,,,Glen Waverley,,,,,,,,
949,,,,Elders Real Estate,,,,,Glen Waverley,,,,,,,,
950,,288500.0,,Ray White,,631125.0,977500.0,,Noble Park,,426250.0,588500.0,,232500.0,402000.0,492000.0,535000.0
951,240000.0,349200.0,,Barry Plant,665000.0,647500.0,688750.0,801000.0,Noble Park,,521111.0,593000.0,,241000.0,453862.4375,596357.1428571428,
952,,,,None,,,,,Noble Park,,,,,,,,
953,,,,hockingstuart,,,,,Noble Park,,,,,,,,
954,,260300.0,,Stockdale & Leggo,,719000.0,,,Noble Park,,,,,,373500.0,,
955,,,,Nelson Alexander,,,,,Noble Park,,,,,,,,
956,,,,Harcourts,,690000.0,,,Noble Park,,,,,,431250.0,,
957,,,,Buxton,,,,,Noble Park,,,,,,,,
958,210000.0,290000.0,435000.0,LJ Hooker,,732000.0,650000.0,,Noble Park,,455000.0,,,,353900.0,650000.0,
959,,,,Jellis Craig,,,,,Noble Park,,,,,,,,
960,,,,Biggin & Scott,,660000.0,,,Noble Park,,,,,,315000.0,599000.0,
961,,,,OBrien Real Estate,,,,,Noble Park,,,,,,485000.0,521000.0,
962,,,,Fletchers,,,,,Noble Park,,,,,,,,
963,,,,Eview Group,,,920000.0,,Noble Park,,,,,,,,
964,,,,Raine & Horne,,,890000.0,,Noble Park,,,,,,,,600000.0
965,,,,Woodards,,,,,Noble Park,,,,,,,,
966,,,,McGrath,,,,,Noble Park,,,,,,,,
967,,,,Marshall White,,,,,Noble Park,,,,,,,,
968,,,,Hodges,,,,,Noble Park,,,,,,,,
969,,,,Jellis Craig & Company Pty Ltd,,,,,Noble Park,,,,,,,,
970,,,,Noel Jones,,,,,Noble Park,,,,,,,,
971,,,,RT Edgar,,,,,Noble Park,,,,,,,,
972,,,,Philip Webb,,,,,Noble Park,,,,,,,,
973,,,,Bell Real Estate,,,,,Noble Park,,,,,,,,
974,,,,hockingstuart ,,,,,Noble Park,,,,,,,,
975,,,,Sweeney Estate Agents,,,,,Noble Park,,,,,,,,
976,,,,Brad Teal Real Estate,,,,,Noble Park,,,,,,,,
977,,,,Grant's Estate Agents,,,,,Noble Park,,,,,,,,
978,,,,Barry Plant ,,,,,Noble Park,,,,,,,,
979,,,,Hayeswinckle,,,,,Noble Park,,,,,,,,
980,,,,Harcourts Rata & Co,,,,,Noble Park,,,,,,,,
981,,,,Alex Scott & Staff,,,,,Noble Park,,,,,,,,
982,,,,Jellis Craig ,,,,,Noble Park,,,,,,,,
983,,,,PRDnationwide,,,,,Noble Park,,,,,,,,
984,,,,PRD Nationwide,,,,,Noble Park,,,,,,,,
985,,,,Miles Real Estate,,,,,Noble Park,,,,,,,,
986,,,,Gary Peer & Associates,,,,,Noble Park,,,,,,,,
987,,,,Love & Co,,,,,Noble Park,,,,,,,,
988,,,,Ray White Oakleigh,,,,,Noble Park,,,590000.0,,,,,
989,,,,Morrison Kleeman Estate Agents Greensborough Doreen,,,,,Noble Park,,,,,,,,
990,,,,Landmark Harcourts,,,,,Noble Park,,,,,,,,
991,,,,Ray White ,,,,,Noble Park,,,,,,,,
992,,,,Professionals Methven Group,,,,,Noble Park,,,,,,,,
993,,,,Kay & Burton,,,,,Noble Park,,,,,,,,
994,,,,Jas Stephens Real Estate,,,,,Noble Park,,,,,,,,
995,,,,First National Real Estate Neilson Partners,,,,,Noble Park,,,,,,,,
996,,,,Clark NextRE,,,,,Noble Park,,,,,,,,
997,,,,Professionals,,,,,Noble Park,,,,,,,,
998,,,,Ballarat Real Estate,,,,,Noble Park,,,,,,,,
999,,,,Elders Real Estate,,,,,Noble Park,,,,,,,,
1000,,,,Ray White,497187.5,606286.3636363636,690416.6666666666,,Rosebud,,,,,,412500.0,610000.0,
1001,,,,Barry Plant,508928.5714285714,573566.6666666666,628625.0,820000.0,Rosebud,,,,,,420000.0,,
1002,,,,None,,,,,Rosebud,,,,,,,,
1003,,,,hockingstuart,437000.0,731852.9411764706,669166.6666666666,1035000.0,Rosebud,,,598750.0,,,,542500.0,
1004,,,,Stockdale & Leggo,570000.0,572916.6666666666,,,Rosebud,,,535000.0,,,425000.0,,
1005,,,,Nelson Alexander,,,,,Rosebud,,,,,,,,
1006,,,,Harcourts,,470000.0,,,Rosebud,,,,,,476000.0,,
1007,,,,Buxton,,,,,Rosebud,,,,,,,,
1008,,,,LJ Hooker,,,,,Rosebud,,,,,,,,
1009,,,,Jellis Craig,,,,,Rosebud,,,,,,,,
1010,,,,Biggin & Scott,,,,,Rosebud,,,,,,,,
1011,,,,OBrien Real Estate,,,,,Rosebud,,,,,,,,
1012,,,,Fletchers,,,,,Rosebud,,,,,,,590000.0,
1013,,,,Eview Group,,603750.0,890000.0,,Rosebud,,510000.0,,,,405000.0,,
1014,,,,Raine & Horne,451000.0,702500.0,,,Rosebud,,,540000.0,,,,,
1015,,,,Woodards,,,,,Rosebud,,,,,,,,
1016,,,,McGrath,,,,,Rosebud,,,,,,,,
1017,,,,Marshall White,,,,,Rosebud,,,,,,,,
1018,,,,Hodges,,,,,Rosebud,,,,,,,,
1019,,,,Jellis Craig & Company Pty Ltd,,,,,Rosebud,,,,,,,,
1020,,,,Noel Jones,,,,,Rosebud,,,,,,,,
1021,,,,RT Edgar,,,,,Rosebud,,,,,,,,
1022,,,,Philip Webb,,,,,Rosebud,,,,,,,,
1023,,,,Bell Real Estate,,,,,Rosebud,,,,,,,,
1024,,,612190.0,hockingstuart ,,603333.3333333334,,,Rosebud,,,630500.0,,,,,
1025,,,,Sweeney Estate Agents,,,,,Rosebud,,,,,,,,
1026,,,,Brad Teal Real Estate,,,,,Rosebud,,,,,,,,
1027,,,,Grant's Estate Agents,,,,,Rosebud,,,,,,,,
1028,,,,Barry Plant ,,,,,Rosebud,,,,,,,,
1029,,,,Hayeswinckle,,,,,Rosebud,,,,,,,,
1030,,,,Harcourts Rata & Co,,,,,Rosebud,,,,810000.0,,,,
1031,,,,Alex Scott & Staff,,,,,Rosebud,,,,,,,,
1032,,,,Jellis Craig ,,,,,Rosebud,,,,,,,,
1033,,,,PRDnationwide,,,,,Rosebud,,,,,,,,
1034,,,,PRD Nationwide,,,,,Rosebud,,,,,,,,
1035,,,,Miles Real Estate,,,,,Rosebud,,,,,,,,
1036,,,,Gary Peer & Associates,,,,,Rosebud,,,,,,,,
1037,,,,Love & Co,,,,,Rosebud,,,,,,,,
1038,,,,Ray White Oakleigh,,,,,Rosebud,,,,,,,,
1039,,,,Morrison Kleeman Estate Agents Greensborough Doreen,,,,,Rosebud,,,,,,,,
1040,,,,Landmark Harcourts,,,,,Rosebud,,,,,,,,
1041,,,,Ray White ,,,,,Rosebud,,,,,,,,
1042,,,,Professionals Methven Group,,,,,Rosebud,,,,,,,,
1043,,,,Kay & Burton,,,,,Rosebud,,,,,,,,
1044,,,,Jas Stephens Real Estate,,,,,Rosebud,,,,,,,,
1045,,,,First National Real Estate Neilson Partners,,,,,Rosebud,,,,,,,,
1046,,,,Clark NextRE,,,,,Rosebud,,,,,,,,
1047,,,,Professionals,,,,,Rosebud,,,,,,,,
1048,,,,Ballarat Real Estate,,,,,Rosebud,,,,,,,,
1049,,,,Elders Real Estate,,,,,Rosebud,,,,,,,,
1050,,,,Ray White,,622500.0,,1155000.0,Langwarrin,,,,,,,,
1051,,,,Barry Plant,,,,,Langwarrin,,,,,,430000.0,,
1052,,,,None,,,,,Langwarrin,,,,,,,,
1053,,,,hockingstuart,,,,,Langwarrin,,,670000.0,,,,,
1054,,,,Stockdale & Leggo,,634928.5714285715,810333.3333333334,947000.0,Langwarrin,,,,,,460250.0,511125.0,
1055,,,,Nelson Alexander,,,,,Langwarrin,,,,,,,,
1056,,,,Harcourts,,588172.5,663000.0,,Langwarrin,,,560000.0,,,431937.5,523333.3333333333,
1057,,,,Buxton,,,,,Langwarrin,,,,,,,,
1058,,,,LJ Hooker,,,,845000.0,Langwarrin,,,,,,,,
1059,,,,Jellis Craig,,,,,Langwarrin,,,,,,,,
1060,,,,Biggin & Scott,,600000.0,,,Langwarrin,,,,,,450000.0,,
1061,,,,OBrien Real Estate,497500.0,633679.4117647059,707630.8823529412,930000.0,Langwarrin,,,,,,450700.0,441250.0,
1062,,,,Fletchers,,,,,Langwarrin,,,,,,,,
1063,,,,Eview Group,492333.3333333333,605550.0,737281.25,1020000.0,Langwarrin,,,630000.0,,,428000.0,495000.0,
1064,,,,Raine & Horne,,518000.0,,,Langwarrin,,,,,,,,
1065,,,,Woodards,,,,,Langwarrin,,,,,,,,
1066,,,,McGrath,,,,,Langwarrin,,,,,,,,
1067,,,,Marshall White,,,,,Langwarrin,,,,,,,,
1068,,,,Hodges,,,,,Langwarrin,,,,,,,,
1069,,,,Jellis Craig & Company Pty Ltd,,,,,Langwarrin,,,,,,,,
1070,,,,Noel Jones,,,,,Langwarrin,,,,,,,,
1071,,,,RT Edgar,,,,,Langwarrin,,,,,,,,
1072,,,,Philip Webb,,,,,Langwarrin,,,,,,,,
1073,,,,Bell Real Estate,,,,,Langwarrin,,,,,,,,
1074,,,,hockingstuart ,481000.0,571000.0,,,Langwarrin,,,,,,,,
1075,,,,Sweeney Estate Agents,,,,,Langwarrin,,,,,,,,
1076,,,,Brad Teal Real Estate,,,,,Langwarrin,,,,,,,,
1077,,,,Grant's Estate Agents,,,,,Langwarrin,,,,,,,,
1078,,,,Barry Plant ,,,,,Langwarrin,,,,,,,,
1079,,,,Hayeswinckle,,,,,Langwarrin,,,,,,,,
1080,,,,Harcourts Rata & Co,,,,,Langwarrin,,,,,,,,
1081,,,,Alex Scott & Staff,,,,,Langwarrin,,,,,,,,
1082,,,,Jellis Craig ,,,,,Langwarrin,,,,,,,,
1083,,,,PRDnationwide,,,,,Langwarrin,,,,,,,,
1084,,,,PRD Nationwide,,,,,Langwarrin,,,,,,,,
1085,,,,Miles Real Estate,,,,,Langwarrin,,,,,,,,
1086,,,,Gary Peer & Associates,,,,,Langwarrin,,,,,,,,
1087,,,,Love & Co,,,,,Langwarrin,,,,,,,,
1088,,,,Ray White Oakleigh,,,,,Langwarrin,,,,,,,,
1089,,,,Morrison Kleeman Estate Agents Greensborough Doreen,,,,,Langwarrin,,,,,,,,
1090,,,,Landmark Harcourts,,,,,Langwarrin,,,,,,,,
1091,,,,Ray White ,,,,,Langwarrin,,,,,,,,
1092,,,,Professionals Methven Group,,,,,Langwarrin,,,,,,,,
1093,,,,Kay & Burton,,,,,Langwarrin,,,,,,,,
1094,,,,Jas Stephens Real Estate,,,,,Langwarrin,,,,,,,,
1095,,,,First National Real Estate Neilson Partners,,,,,Langwarrin,,,,,,,,
1096,,,,Clark NextRE,,,,,Langwarrin,,,,,,,,
1097,,,,Professionals,,,,,Langwarrin,,,,,,,,
1098,,,,Ballarat Real Estate,,,,,Langwarrin,,,,,,,,
1099,,,,Elders Real Estate,,,,,Langwarrin,,,,,,,,
1100,281000.0,363500.0,,Ray White,,553083.3333333334,612923.0769230769,650000.0,Epping,,385250.0,470875.0,,,392900.0,407000.0,
1101,,,,Barry Plant,,553000.0,600000.0,,Epping,,,,,320000.0,,,
1102,,,,None,,,,,Epping,,310000.0,,,,,,
1103,303500.0,335286.6666666667,,hockingstuart,543000.0,580562.5,638833.3333333334,852666.6666666666,Epping,,,538000.0,,,,,518500.0
1104,,,,Stockdale & Leggo,435830.4,586876.4705882353,678900.0,,Epping,,,,,,349000.0,505000.0,
1105,,,,Nelson Alexander,,,805000.0,,Epping,,,,,,,,
1106,,,,Harcourts,,,,,Epping,,,,,,,,
1107,,,,Buxton,,,,,Epping,,,,,,,,
1108,,,,LJ Hooker,,,,,Epping,,,,,,,,
1109,,,,Jellis Craig,,,,,Epping,,,,,,,,
1110,,,,Biggin & Scott,,,,,Epping,,,,,,,,
1111,309000.0,,,OBrien Real Estate,,615000.0,,,Epping,,,,,,370000.0,,
1112,,,,Fletchers,,,,,Epping,,,,,,,,
1113,,,,Eview Group,,,,,Epping,,,,,,,,
1114,,,,Raine & Horne,,,685000.0,,Epping,,,,,,,,
1115,,,,Woodards,,,,,Epping,,,,,,,,
1116,,,,McGrath,,,720000.0,970000.0,Epping,,,,,,,,
1117,,,,Marshall White,,,,,Epping,,,,,,,,
1118,,,,Hodges,,,,,Epping,,,,,,,,
1119,,,,Jellis Craig & Company Pty Ltd,,,,,Epping,,,,,,,,
1120,,,,Noel Jones,,,,,Epping,,,,,,,,
1121,,,,RT Edgar,,,,,Epping,,,,,,,,
1122,,,,Philip Webb,,,,,Epping,,,,,,,,
1123,,,,Bell Real Estate,,,,,Epping,,,,,,,,
1124,,,,hockingstuart ,,,,,Epping,,,,,,,,
1125,,,,Sweeney Estate Agents,,,,,Epping,,,,,,,,
1126,,,,Brad Teal Real Estate,,620000.0,,,Epping,,,,,,,,
1127,,,,Grant's Estate Agents,,,,,Epping,,,,,,,,
1128,,,,Barry Plant ,,,,,Epping,,,,,,,,
1129,,,,Hayeswinckle,,,,,Epping,,,,,,,,
1130,290400.0,414285.28571428574,,Harcourts Rata & Co,,580618.3333333334,678593.75,670000.0,Epping,,436750.0,495000.0,485000.0,,361125.0,425800.0,
1131,,,,Alex Scott & Staff,,,,,Epping,,,,,,,,
1132,,,,Jellis Craig ,,,,,Epping,,,,,,,,
1133,,,,PRDnationwide,,,,,Epping,,,,,,,,
1134,,,,PRD Nationwide,,,,,Epping,,,,,,,,
1135,,,,Miles Real Estate,,,,,Epping,,,,,,,,
1136,,,,Gary Peer & Associates,,,,,Epping,,,,,,,,
1137,267000.0,,,Love & Co,,565428.5714285715,635666.6666666666,632833.3333333334,Epping,,,478500.0,,296750.0,400666.6666666667,492000.0,
1138,,,,Ray White Oakleigh,,,,,Epping,,,,,,,,
1139,,,,Morrison Kleeman Estate Agents Greensborough Doreen,,615000.0,,,Epping,,,,,,,,
1140,,,,Landmark Harcourts,,,,,Epping,,,,,,,,
1141,,,,Ray White ,428000.0,,,,Epping,,,,,,,,
1142,,,,Professionals Methven Group,,,,,Epping,,,,,,,,
1143,,,,Kay & Burton,,,,,Epping,,,,,,,,
1144,,,,Jas Stephens Real Estate,,,,,Epping,,,,,,,,
1145,,,,First National Real Estate Neilson Partners,,,,,Epping,,,,,,,,
1146,,,,Clark NextRE,,,,,Epping,,,,,,,,
1147,,,,Professionals,,,,,Epping,,,,,,,,
1148,,,,Ballarat Real Estate,,,,,Epping,,,,,,,,
1149,,,,Elders Real Estate,,,,,Epping,,,,,,,,
1150,,,,Ray White,432833.3333333333,548923.0769230769,615750.0,,Carrum Downs,,,524500.0,,296000.0,427500.0,439800.0,
1151,,,,Barry Plant,,522500.0,,,Carrum Downs,,,,,,414000.0,438500.0,
1152,,,,None,,551633.3333333334,676300.0,,Carrum Downs,,,,,,,,
1153,,,,hockingstuart,,,,,Carrum Downs,,,,,,,,
1154,,,,Stockdale & Leggo,,,,,Carrum Downs,,,,,,,,
1155,,,,Nelson Alexander,,,,,Carrum Downs,,,,,,,,
1156,,,,Harcourts,452500.0,558097.5609756098,598400.0,666000.0,Carrum Downs,,,478500.0,,,393500.0,460000.0,
1157,,,,Buxton,,573750.0,,,Carrum Downs,,,,,,,,
1158,,,,LJ Hooker,,,,,Carrum Downs,,,,,,,,
1159,,,,Jellis Craig,,,,,Carrum Downs,,,,,,,,
1160,,,,Biggin & Scott,,580000.0,601666.6666666666,,Carrum Downs,,,,,,,,
1161,,418000.0,,OBrien Real Estate,490000.0,577862.0,638821.4285714285,,Carrum Downs,,,459000.0,,225000.0,405708.3333333333,499150.0,
1162,,,,Fletchers,,,,,Carrum Downs,,,,,,,,
1163,,,,Eview Group,,594166.6666666666,637000.0,,Carrum Downs,,,,,,,,
1164,,,,Raine & Horne,,525000.0,,,Carrum Downs,,,,,,,,
1165,,,,Woodards,,,,,Carrum Downs,,,,,,,,
1166,,,,McGrath,,,,,Carrum Downs,,,,,,,,
1167,,,,Marshall White,,,,,Carrum Downs,,,,,,,,
1168,,,,Hodges,,675000.0,660000.0,,Carrum Downs,,,475000.0,,,,,
1169,,,,Jellis Craig & Company Pty Ltd,,,,,Carrum Downs,,,,,,,,
1170,,,,Noel Jones,,,,,Carrum Downs,,,,,,,,
1171,,,,RT Edgar,,535000.0,,,Carrum Downs,,,,,,,,
1172,,,,Philip Webb,,,,,Carrum Downs,,,,,,,,
1173,,,,Bell Real Estate,,,,,Carrum Downs,,,,,,,,
1174,,,,hockingstuart ,459250.0,513500.0,690000.0,,Carrum Downs,,,,,,410000.0,,
1175,,,,Sweeney Estate Agents,,,,,Carrum Downs,,,,,,,,
1176,,,,Brad Teal Real Estate,,,,,Carrum Downs,,,,,,,,
1177,,,,Grant's Estate Agents,,,,,Carrum Downs,,,,,,,,
1178,,,,Barry Plant ,,,,,Carrum Downs,,,,,,,,
1179,,,,Hayeswinckle,,,,,Carrum Downs,,,,,,,,
1180,,,,Harcourts Rata & Co,,,,,Carrum Downs,,,,,,,,
1181,,,,Alex Scott & Staff,,,,,Carrum Downs,,,,,,,,
1182,,,,Jellis Craig ,,,,,Carrum Downs,,,,,,,,
1183,,,,PRDnationwide,,,,,Carrum Downs,,,,,,,,
1184,,,,PRD Nationwide,,,,,Carrum Downs,,,,,,,,
1185,,,,Miles Real Estate,,,,,Carrum Downs,,,,,,,,
1186,,,,Gary Peer & Associates,,,,,Carrum Downs,,,,,,,,
1187,,,,Love & Co,,,,,Carrum Downs,,,,,,,,
1188,,,,Ray White Oakleigh,,,,,Carrum Downs,,,,,,,,
1189,,,,Morrison Kleeman Estate Agents Greensborough Doreen,,,,,Carrum Downs,,,,,,,,
1190,,,,Landmark Harcourts,,,,,Carrum Downs,,,,,,,,
1191,,,,Ray White ,,,,,Carrum Downs,,,,,,,,
1192,,,,Professionals Methven Group,,,,,Carrum Downs,,,,,,,,
1193,,,,Kay & Burton,,,,,Carrum Downs,,,,,,,,
1194,,,,Jas Stephens Real Estate,,,,,Carrum Downs,,,,,,,,
1195,,,,First National Real Estate Neilson Partners,,,,,Carrum Downs,,,,,,,,
1196,,,,Clark NextRE,,,,,Carrum Downs,,,,,,,,
1197,,,,Professionals,,,,,Carrum Downs,,,,,,,,
1198,,,,Ballarat Real Estate,,,,,Carrum Downs,,,,,,,,
1199,,,,Elders Real Estate,,,,,Carrum Downs,,,,,,,,
1200,,,,Ray White,,1213107.142857143,1257555.5555555555,,Mount Waverley,,,812000.0,1153400.0,,668250.0,973875.0,860000.0
1201,,,,Barry Plant,,1201666.6666666667,1290000.0,,Mount Waverley,,,,1050000.0,,670000.0,1181500.0,
1202,,,,None,,,,,Mount Waverley,,,,,,,,
1203,,,,hockingstuart,,1005000.0,1285500.0,,Mount Waverley,,,,,,,,
1204,,,,Stockdale & Leggo,,,,,Mount Waverley,,,,,,,,
1205,,,,Nelson Alexander,,,,,Mount Waverley,,,,,,,,
1206,,,,Harcourts,,1101000.0,1475000.0,,Mount Waverley,,,947000.0,1391296.0,,,,
1207,,,,Buxton,,1206000.0,1345000.0,1340000.0,Mount Waverley,,,695000.0,1176250.0,,690500.0,840000.0,
1208,,,,LJ Hooker,,,,,Mount Waverley,,,,,,,,
1209,,,,Jellis Craig,,1263088.705882353,1364000.0,1458666.6666666667,Mount Waverley,,,1247750.0,1209700.0,,700000.0,1025357.1428571428,
1210,,,,Biggin & Scott,,,,,Mount Waverley,,,,,,,,
1211,,,,OBrien Real Estate,,,,,Mount Waverley,,,,,,,,
1212,,,,Fletchers,,1057500.0,1266000.0,,Mount Waverley,,,,,,,,
1213,,,,Eview Group,,,,,Mount Waverley,,,,,,,,
1214,,,,Raine & Horne,,,,,Mount Waverley,,,,,,,,
1215,,470000.0,,Woodards,,1005000.0,1332500.0,,Mount Waverley,,,,,,,,
1216,,,,McGrath,,1150900.0,1291500.0,1444333.3333333333,Mount Waverley,,,931420.0,982265.6666666666,,689071.4285714285,888666.6666666666,
1217,,,,Marshall White,,,,,Mount Waverley,,,,,,,,
1218,,,,Hodges,,,,,Mount Waverley,,,,,,,,
1219,,,,Jellis Craig & Company Pty Ltd,,,,,Mount Waverley,,,,,,,,
1220,,,,Noel Jones,,,,,Mount Waverley,,,876000.0,,,,,
1221,,,,RT Edgar,,,,,Mount Waverley,,,,,,,,
1222,,,,Philip Webb,,,,,Mount Waverley,,,,,,,,
1223,,,,Bell Real Estate,,,,,Mount Waverley,,,,,,,,
1224,,,,hockingstuart ,,,,,Mount Waverley,,,,,,,,
1225,,,,Sweeney Estate Agents,,,,,Mount Waverley,,,,,,,,
1226,,,,Brad Teal Real Estate,,,,,Mount Waverley,,,,,,,,
1227,,,,Grant's Estate Agents,,,,,Mount Waverley,,,,,,,,
1228,,,,Barry Plant ,,,,,Mount Waverley,,,,,,,,
1229,,,,Hayeswinckle,,,,,Mount Waverley,,,,,,,,
1230,,,,Harcourts Rata & Co,,,,,Mount Waverley,,,,,,,,
1231,,,,Alex Scott & Staff,,,,,Mount Waverley,,,,,,,,
1232,,,,Jellis Craig ,,,,,Mount Waverley,,,,,,,,
1233,,,,PRDnationwide,,,,,Mount Waverley,,,,,,,,
1234,,,,PRD Nationwide,,,,,Mount Waverley,,,,,,,,
1235,,,,Miles Real Estate,,,,,Mount Waverley,,,,,,,,
1236,,,,Gary Peer & Associates,,,,,Mount Waverley,,,,,,,,
1237,,,,Love & Co,,,,,Mount Waverley,,,,,,,,
1238,,,,Ray White Oakleigh,,1125000.0,,,Mount Waverley,,,888833.3333333334,,,654500.0,832200.0,
1239,,,,Morrison Kleeman Estate Agents Greensborough Doreen,,,,,Mount Waverley,,,,,,,,
1240,,,,Landmark Harcourts,,,,,Mount Waverley,,,,,,,,
1241,,,,Ray White ,,,,,Mount Waverley,,,,,,,950000.0,
1242,,,,Professionals Methven Group,,,,,Mount Waverley,,,,,,,,
1243,,,,Kay & Burton,,,,,Mount Waverley,,,,,,,,
1244,,,,Jas Stephens Real Estate,,,,,Mount Waverley,,,,,,,,
1245,,,,First National Real Estate Neilson Partners,,,,,Mount Waverley,,,,,,,,
1246,,,,Clark NextRE,,,,,Mount Waverley,,,,,,,,
1247,,,,Professionals,,,,,Mount Waverley,,,,,,,,
1248,,,,Ballarat Real Estate,,,,,Mount Waverley,,,,,,,,
1249,,,,Elders Real Estate,,,,,Mount Waverley,,,,,,,,
1250,,,,Ray White,401600.0,500823.5294117647,613500.0,575000.0,Cranbourne,,,410000.0,,,392875.0,423000.0,
1251,,,,Barry Plant,,521500.0,510000.0,,Cranbourne,,,,,,,,
1252,,,,None,,,,,Cranbourne,,,,,,,,
1253,,,,hockingstuart,,,,,Cranbourne,,,,,,,,
1254,,,,Stockdale & Leggo,397500.0,507800.0,590200.0,,Cranbourne,,,,,,387400.0,500000.0,
1255,,,,Nelson Alexander,,,,,Cranbourne,,,,,,,,
1256,,,,Harcourts,,513000.0,540400.0,,Cranbourne,,,492500.0,,,347500.0,,
1257,,,,Buxton,,,,632000.0,Cranbourne,,,,,,,,
1258,,,,LJ Hooker,,534000.0,585000.0,600000.0,Cranbourne,,,,,,360000.0,,
1259,,,,Jellis Craig,,,,,Cranbourne,,,,,,,,
1260,,,,Biggin & Scott,,522500.0,575000.0,,Cranbourne,,,,,,320000.0,,
1261,,,,OBrien Real Estate,416000.0,528076.9230769231,608285.7142857143,845000.0,Cranbourne,,,,,,405250.0,433333.3333333333,
1262,,,,Fletchers,,,,,Cranbourne,,,,,,,,
1263,,,,Eview Group,,515000.0,640033.3333333334,,Cranbourne,,,,,,380000.0,,
1264,,,,Raine & Horne,,475000.0,,,Cranbourne,,,,,,405000.0,,
1265,,,,Woodards,,,,,Cranbourne,,,,,,,,
1266,,,,McGrath,,,,,Cranbourne,,,,,,,,
1267,,,,Marshall White,,,,,Cranbourne,,,,,,,,
1268,,,,Hodges,,542500.0,,,Cranbourne,,,,,,,440500.0,
1269,,,,Jellis Craig & Company Pty Ltd,,,,,Cranbourne,,,,,,,,
1270,,,,Noel Jones,,,,,Cranbourne,,,,,,,,
1271,,,,RT Edgar,,,,,Cranbourne,,,,,,,,
1272,,,,Philip Webb,,,,,Cranbourne,,,,,,,,
1273,,,,Bell Real Estate,,,,,Cranbourne,,,,,,,,
1274,,,,hockingstuart ,,505000.0,,635000.0,Cranbourne,,,,,,360000.0,,
1275,,,,Sweeney Estate Agents,,,,,Cranbourne,,,,,,,,
1276,,,,Brad Teal Real Estate,,,,,Cranbourne,,,,,,,,
1277,,,,Grant's Estate Agents,,,,,Cranbourne,,,,,,,,
1278,,,,Barry Plant ,,,,,Cranbourne,,,,,,,,
1279,,,,Hayeswinckle,,,,,Cranbourne,,,,,,,,
1280,,,,Harcourts Rata & Co,,,,,Cranbourne,,,,,,,,
1281,,,,Alex Scott & Staff,,,,,Cranbourne,,,,,,,,
1282,,,,Jellis Craig ,,,,,Cranbourne,,,,,,,,
1283,,,,PRDnationwide,,,,,Cranbourne,,,,,,,,
1284,,,,PRD Nationwide,,,,,Cranbourne,,,,,,,,
1285,,,,Miles Real Estate,,,,,Cranbourne,,,,,,,,
1286,,,,Gary Peer & Associates,,,,,Cranbourne,,,,,,,,
